make_model,location,price,body_type,type,warranty,mileage,gearbox,fuel_type,colour,paint,seller,gears,drivetrain,entertainment_media,extras,full_service_history,nonsmoker_vehicle,upholstery,power_hp,safety_category,emission_category
Mercedes-Benz A 160,ES,16950.0, Compact, Used,Yes,120200.0,Manual,diesel,Black,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,102.0,middle,high
Mercedes-Benz EQE 350,ES,80000.0, Compact, Pre-registered,Yes,5000.0,Automatic,electric,Black,Nonmetallic,Dealer,9.0, 4WD,Standard,6.0,No,No,Leather,292.0,middle,high
Mercedes-Benz A 45 AMG,ES,69900.0, Compact, Used,Yes,18900.0,Automatic,benzine,Grey,Nonmetallic,Dealer,8.0, 4WD,Standard,1.0,No,No,Leather,400.0,low,high
Mercedes-Benz A 35 AMG,ES,46990.0, Compact, Used,Yes,18995.0,Automatic,benzine,Yellow,Nonmetallic,Dealer,7.0, 4WD,Standard,1.0,No,No,Leather,306.0,low,high
Mercedes-Benz A 45 AMG,ES,16800.0, Compact, Used,Yes,197000.0,Automatic,diesel,White,Metallic,Dealer,7.0, 4WD,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz C 160,DE,4690.0, Compact, Used,No,165000.0,Manual,benzine,Black,Metallic,Dealer,6.0, Rear,Standard,7.0,Yes,Yes,Cloth,122.0,middle,mid-low
Mercedes-Benz CLA 180,ES,22550.0, Compact, Used,Yes,83339.0,Manual,diesel,Silver,Nonmetallic,Dealer,7.0, Front,Standard,3.0,No,No,Leather,122.0,middle,high
Mercedes-Benz A 220,ES,26900.0, Compact, Used,Yes,48900.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, Front,Standard,2.0,No,No,Cloth,190.0,low,high
Mercedes-Benz A 35 AMG,BE,44999.0, Compact, Used,No,56876.0,Automatic,benzine,Grey,Nonmetallic,Dealer,7.0, 4WD,Standard,1.0,No,No,Leather,306.0,low,high
Mercedes-Benz A 200,ES,23900.0, Compact, Used,Yes,21854.0,Automatic,diesel,White,Nonmetallic,Dealer,1.0, Front,Standard,1.0,No,No,Leather,139.0,low,high
Mercedes-Benz A 160,BE,14200.0, Compact, Used,Yes,99016.0,Manual,diesel,Grey,Metallic,Dealer,5.0, Front,Standard,2.0,No,No,Cloth,90.0,middle,high
Mercedes-Benz A 45 AMG,ES,37999.0, Compact, Used,Yes,90000.0,Automatic,benzine,Black,Metallic,Dealer,7.0, 4WD,Standard,2.0,No,No,Leather,381.0,low,high
Mercedes-Benz A 250,ES,23999.0, Compact, Used,Yes,25914.0,Automatic,benzine,Black,Nonmetallic,Dealer,7.0, Front,Standard,3.0,No,No,Other,211.0,low,high
Mercedes-Benz A 180,BE,24400.0, Compact, Used,Yes,27150.0,Manual,diesel,Grey,Metallic,Dealer,6.0, Front,Standard,5.0,No,No,Leather,116.0,middle,high
Mercedes-Benz A 45 AMG,ES,16999.0, Compact, Used,Yes,210000.0,Automatic,diesel,Black,Nonmetallic,Dealer,7.0, 4WD,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 180,DE,7450.0, Compact, Used,No,157500.0,Manual,diesel,Black,Metallic,Dealer,7.0, Front,Standard,6.0,Yes,Yes,Cloth,109.0,low,mid-low
Mercedes-Benz A 250,BE,38999.0, Compact, Used,No,21496.0,Automatic,electric,Grey,Nonmetallic,Dealer,7.0, Front,Standard,5.0,No,No,Other,160.0,low,high
Mercedes-Benz A 35 AMG,ES,41900.0, Compact, Used,Yes,44000.0,Automatic,benzine,Black,Metallic,Dealer,7.0, 4WD,Standard,1.0,No,No,Leather,306.0,low,high
Mercedes-Benz A 180,ES,29800.0, Compact, Used,Yes,21734.0,Automatic,diesel,Grey,Metallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,116.0,low,high
